"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-52.62075,-56.25417,155.49545,-10.69857,0,0.96446
-52.62075,-56.25417,163.33025,-9.36125,0,0.95381
-52.62075,-56.25417,161.19652,-9.36125,0,0.95547
-52.6066,-56.24062,142.36977,-10.02749,0,0.84087
-52.6066,-56.24062,136.79401,-13.03573,0,0.82192
-52.58592,-56.22082,164.96388,-8.03062,-2.20293,0.89178
-52.58592,-56.22082,164.96388,-8.03062,-2.20293,0.89178
-52.58049,-56.21562,184.42561,-12.0405,1.65125,0.74467
-52.58049,-56.21562,174.42422,-12.0405,1.65125,0.83859
-52.51629,-56.15413,176.09927,-13.40666,2.2031,0.81592
-52.51629,-56.15413,155.49545,-10.72533,2.2031,0.96509
-52.51629,-56.15413,161.19652,-9.38466,2.2031,0.95616
-52.51629,-56.15413,164.93054,-6.70333,-2.2031,0.88864
-52.51629,-56.15413,164.93054,-6.70333,-2.2031,0.88864
-52.44668,-56.08744,176.06593,-12.08603,2.20327,0.81385
-52.44668,-56.08744,155.49545,-10.74314,2.20327,0.96581
-52.44668,-56.08744,161.19652,-9.40025,2.20327,0.95693
-52.41188,-56.05409,155.49545,-10.75204,0,0.96651
-52.41188,-56.05409,163.29691,-8.06403,0,0.95372
-52.41188,-56.05409,161.16318,-8.06403,0,0.9575
-52.39777,-56.04057,181.97528,-8.06205,0,0.73228
-52.37709,-56.02075,176.06593,-12.10605,2.20344,0.81109
-52.37709,-56.02075,164.93054,-6.72558,2.20344,0.88766
-52.37709,-56.02075,164.93054,-6.72558,2.20344,0.88766
-52.37168,-56.01556,142.29475,-7.05867,-1.65163,0.85637
-52.37168,-56.01556,168.27338,-8.06705,1.65163,0.755
-52.3456,-55.99055,136.74399,-11.09907,0,0.83838
-52.34231,-55.9874,176.06593,-12.11605,0,0.80835
-52.34231,-55.9874,155.46211,-9.4236,0,0.96697
-52.34231,-55.9874,161.16318,-8.07737,0,0.95784
-52.30753,-55.95406,164.93054,-6.7367,2.20361,0.8876
-52.30753,-55.95406,164.93054,-6.7367,2.20361,0.8876
-52.27275,-55.92071,176.06593,-12.13604,0,0.80351
-52.27275,-55.92071,155.46211,-9.43915,0,0.96708
-52.27275,-55.92071,161.16318,-8.0907,0,0.95786
-52.23798,-55.88737,176.09927,-13.49559,-2.20378,0.7969
