"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
2.9412,0.57,0.699,0.876
2.9455,0.54,0.66,0.868
2.9499,0.571,0.713,0.929
2.9542,0.604,0.738,0.938
2.9586,0.57,0.701,0.894
2.963,0.563,0.693,0.892
2.9674,0.588,0.724,0.934
2.9718,0.622,0.781,0.999
2.9762,0.657,0.807,1.01
2.9806,0.637,0.791,0.998
2.9851,0.618,0.759,0.966
2.9895,0.609,0.737,0.915
2.994,0.556,0.671,0.865
2.9985,0.464,0.584,0.817
3.003,0.532,0.644,0.864
3.0075,0.594,0.717,0.889
3.012,0.605,0.737,0.938
3.0166,0.636,0.786,0.994
3.0211,0.666,0.807,1
3.0257,0.637,0.785,0.991
3.0303,0.601,0.75,0.968
3.0349,0.639,0.804,1.01
3.0395,0.705,0.84,1.02
3.0441,0.657,0.809,1.01
3.0488,0.585,0.727,0.965
3.0534,0.569,0.7,0.954
3.0581,0.634,0.81,1.02
3.0628,0.664,0.824,1.02
3.0675,0.616,0.783,1.01
3.0722,0.618,0.78,1
3.0769,0.699,0.841,1.03
3.0817,0.742,0.869,1.11
3.0864,0.712,0.851,1.03
3.0912,0.653,0.816,1.02
3.096,0.687,0.828,1.02
3.1008,0.665,0.815,1.02
3.1056,0.569,0.695,0.871
3.1104,0.548,0.657,0.862
3.1153,0.58,0.737,0.993
3.1201,0.639,0.813,1.03
3.125,0.617,0.788,1.02
3.1299,0.562,0.734,0.992
3.1348,0.619,0.803,1.06
3.1397,0.634,0.83,1.11
3.1447,0.524,0.708,0.993
3.1496,0.528,0.697,0.972
3.1546,0.504,0.689,0.995
3.1596,0.499,0.71,1.01
3.1646,0.436,0.675,0.997
3.1696,0.277,0.484,0.81
3.1746,0.225,0.413,0.759
3.1797,0.218,0.389,0.677
3.1847,0.166,0.329,0.652
3.1898,0.109,0.234,0.479
3.1949,0.137,0.262,0.48
3.2,0.1,0.213,0.432
3.2051,0.0784,0.152,0.299
3.2103,0.0602,0.133,0.292
3.2154,0.0438,0.0852,0.177
3.2206,0.049,0.0889,0.171
3.2258,0.037,0.0715,0.148
3.231,0.0332,0.0593,0.114
3.2362,0.0243,0.0487,0.102
3.2415,0.0218,0.0413,0.0851
3.2468,0.0214,0.0402,0.084
3.252,0.0191,0.0352,0.0698
3.2573,0.0158,0.0312,0.0662
3.2626,0.0203,0.0357,0.0674
3.268,0.0218,0.0362,0.0675
3.2733,0.0247,0.0412,0.0749
3.2787,0.0282,0.0442,0.0761
3.2841,0.0316,0.0524,0.0954
3.2895,0.0362,0.0561,0.0969
3.2949,0.0357,0.0568,0.0993
3.3003,0.0334,0.054,0.0983
3.3058,0.0235,0.0387,0.0713
3.3113,0.00958,0.0294,0.0623
3.3167,0.00301,0.0104,0.041
3.3223,0.00728,0.0197,0.0558
3.3278,0.0236,0.0487,0.0985
3.3333,0.0342,0.0576,0.106
3.3389,0.0352,0.0573,0.103
3.3445,0.0308,0.0523,0.0975
3.3501,0.0275,0.0483,0.0929
3.3557,0.0265,0.0466,0.0922
3.3613,0.0293,0.0524,0.1
3.367,0.0288,0.0513,0.1
3.3727,0.0291,0.0534,0.109
3.3784,0.0307,0.0553,0.11
3.3841,0.0276,0.0531,0.116
3.3898,0.0289,0.055,0.118
3.3956,0.0336,0.0698,0.159
3.4014,0.0342,0.0715,0.16
3.4072,0.037,0.0811,0.192
3.413,0.0503,0.101,0.213
3.4188,0.0542,0.107,0.222
3.4247,0.0409,0.0898,0.211
3.4305,0.0386,0.0946,0.277
3.4364,0.0547,0.113,0.277
3.4423,0.0446,0.0884,0.189
3.4483,0.0434,0.088,0.194
3.4542,0.0691,0.15,0.36
3.4602,0.0707,0.153,0.363
3.4662,0.043,0.0958,0.252
3.4722,0.0385,0.0842,0.221
3.4783,0.0428,0.0863,0.197
3.4843,0.0393,0.0821,0.199
3.4904,0.0384,0.0816,0.201
3.4965,0.0469,0.0916,0.196
3.5026,0.0524,0.0986,0.216
3.5088,0.0571,0.105,0.219
3.5149,0.082,0.166,0.41
3.5211,0.115,0.219,0.447
3.5273,0.0631,0.148,0.4
3.5336,0.0413,0.0744,0.159
3.5398,0.0331,0.0618,0.135
3.5461,0.0388,0.0741,0.166
3.5524,0.0477,0.0863,0.187
3.5587,0.0544,0.107,0.231
3.5651,0.063,0.131,0.284
3.5714,0.0547,0.114,0.274
3.5778,0.0484,0.0946,0.22
3.5842,0.0467,0.0987,0.239
3.5907,0.0576,0.129,0.32
3.5971,0.0993,0.195,0.393
3.6036,0.0802,0.171,0.377
3.6101,0.0815,0.188,0.52
3.6166,0.135,0.247,0.533
3.6232,0.0951,0.189,0.394
3.6298,0.113,0.247,0.564
3.6364,0.156,0.286,0.577
3.643,0.111,0.223,0.466
3.6496,0.16,0.318,0.684
3.6563,0.232,0.404,0.74
3.663,0.166,0.325,0.69
3.6697,0.21,0.402,0.817
3.6765,0.311,0.52,0.958
3.6832,0.21,0.412,0.907
3.69,0.217,0.416,0.848
3.6969,0.307,0.54,1.01
3.7037,0.253,0.493,1
3.7106,0.142,0.3,0.739
3.7175,0.203,0.469,1.03
3.7244,0.242,0.497,1.04
3.7313,0.119,0.238,0.562
3.7383,0.116,0.223,0.498
3.7453,0.149,0.281,0.638
3.7523,0.181,0.358,0.834
3.7594,0.146,0.311,0.795
3.7665,0.123,0.245,0.564
3.7736,0.134,0.25,0.548
3.7807,0.162,0.289,0.596
3.7879,0.137,0.265,0.582
3.7951,0.105,0.194,0.412
3.8023,0.129,0.235,0.515
3.8095,0.186,0.336,0.694
3.8168,0.183,0.335,0.697
3.8241,0.174,0.35,0.859
3.8314,0.161,0.332,0.858
3.8388,0.0931,0.181,0.448
3.8462,0.085,0.214,0.631
3.8536,0.231,0.457,0.96
3.861,0.23,0.44,0.95
3.8685,0.127,0.256,0.619
3.876,0.131,0.265,0.64
3.8835,0.193,0.377,0.794
3.8911,0.211,0.437,0.947
3.8986,0.175,0.419,1.04
3.9062,0.166,0.342,0.966
3.9139,0.234,0.44,0.94
3.9216,0.237,0.469,0.954
3.9293,0.269,0.544,1.15
3.937,0.332,0.596,1.11
3.9448,0.36,0.625,1.11
3.9526,0.315,0.586,1.13
3.9604,0.427,0.817,1.38
3.9683,0.632,0.928,1.39
3.9761,0.316,0.696,1.31
3.9841,0.536,0.943,1.52
3.992,0.751,0.984,1.43
4,0.556,0.873,1.4
4.008,0.438,0.768,1.28
4.0161,0.764,1.02,1.72
4.0241,0.899,1.15,1.9
4.0323,0.727,1,1.66
4.0404,0.512,0.807,1.31
4.0486,0.693,0.969,1.6
4.0568,0.947,1.23,2
4.065,0.894,1.15,1.93
4.0733,0.752,1.01,1.71
4.0816,0.928,1.28,2.25
4.09,1.06,1.36,2.07
4.0984,0.942,1.2,1.95
4.1068,0.929,1.2,1.95
4.1152,0.905,1.17,1.83
4.1237,0.963,1.2,1.86
4.1322,0.954,1.16,1.71
4.1408,0.896,1.08,1.58
4.1494,0.813,1.01,1.47
4.158,0.783,0.959,1.36
4.1667,0.773,0.935,1.27
4.1754,0.791,0.956,1.29
4.1841,0.717,0.882,1.19
4.1929,0.632,0.792,1.03
4.2017,0.642,0.788,1.01
4.2105,0.677,0.817,1.02
4.2194,0.671,0.821,1.06
4.2283,0.69,0.845,1.15
4.2373,0.701,0.857,1.18
4.2463,0.712,0.871,1.21
4.2553,0.838,1.05,1.63
4.2644,0.864,1.08,1.68
4.2735,0.892,1.12,1.79
4.2827,0.847,1.09,1.8
4.2918,0.597,0.787,1.14
4.3011,0.49,0.587,0.737
4.3103,0.58,0.755,1.11
4.3197,0.808,1.01,1.47
4.329,0.966,1.2,1.97
4.3384,0.896,1.14,1.91
4.3478,0.804,0.986,1.45
