"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-19.2,-21.71,-30.75,7.75,0.03,21
-19.1,-21.6,-32.86,7.36,0.03,21
-18.99,-21.48,-35.28,6.45,0.03,22
-18.89,-21.37,-37.74,6.01,0.03,22
-18.79,-21.26,-39.64,5.47,0.03,19
-18.69,-21.15,-41.49,5.21,0.03,20
-18.59,-21.04,-43.44,4.7,0.03,22
-18.49,-20.93,-45.24,4.72,0.03,20
-18.39,-20.81,-47.16,4.98,0.03,19
-18.29,-20.7,-49.6,4.83,0.03,23
-18.19,-20.59,-51.96,4.91,0.03,15
-18.09,-20.48,-53.24,5.54,0.03,20
-17.99,-20.37,-53.37,6.49,0.03,19
-17.9,-20.27,-53.1,7.06,0.03,20
-17.8,-20.16,-53.73,6.82,0.03,19
-17.7,-20.05,-54.54,6.34,0.03,18
-17.6,-19.93,-55.2,5.4,0.03,18
-17.5,-19.82,-55.99,4.62,0.03,17
-17.39,-19.71,-56.2,4.42,0.03,18
-17.29,-19.6,-56.92,4.56,0.03,15
-17.19,-19.48,-56.73,5.03,0.03,14
-17.09,-19.37,-56.81,5.48,0.03,18
-16.99,-19.26,-55.85,6.03,0.03,14
-16.89,-19.15,-55.07,6.39,0.03,17
-16.8,-19.04,-53.36,6.4,0.03,16
-16.69,-18.93,-52.05,6.47,0.03,19
-16.59,-18.82,-49.82,6.25,0.03,20
-16.49,-18.7,-48.1,5.93,0.03,19
