"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-59.49761,-62.74495,131.79555,5.02769,-1.10059,0.67584
-59.49761,-62.74495,133.51236,5.58632,-1.10059,0.67204
-59.49761,-62.74495,128.69524,3.91042,1.10059,0.97427
-59.49761,-62.74495,126.67839,4.46905,1.10059,0.81803
-59.49761,-62.74495,191.33438,6.14444,1.1005,0.83017
-59.49761,-62.74495,178.51653,5.58585,1.1005,0.90199
-59.49761,-62.74495,174.84953,5.58585,1.1005,0.89334
-59.49761,-62.74495,159.73145,5.02727,1.1005,0.79382
-59.4618,-62.71161,130.74544,4.47395,-1.10063,0.66988
-59.4618,-62.71161,128.69524,3.91471,1.10063,0.974
-59.4618,-62.71161,126.69506,3.91471,1.10063,0.81064
-59.4618,-62.71161,178.49986,6.15117,1.10054,0.90423
-59.4618,-62.71161,159.74812,4.47358,1.10054,0.78451
-59.4618,-62.71161,177.33308,6.15117,1.10054,0.89338
-59.44389,-62.69494,139.06287,2.79775,0,0.95147
-59.44389,-62.69494,128.71191,3.3573,0,0.97358
-59.44389,-62.69494,178.51653,5.59504,0,0.90087
-59.42599,-62.67827,128.71191,3.35914,-1.10067,0.97283
-59.42599,-62.67827,126.69506,3.919,1.10067,0.80106
-59.42599,-62.67827,178.51653,5.5981,-1.10058,0.89715
-59.42599,-62.67827,159.89815,-0.55981,1.10058,0.77076
-59.40809,-62.6616,126.67839,4.4813,0,0.79086
-59.40809,-62.6616,174.83286,6.16127,0,0.88554
-59.39019,-62.64493,132.01222,5.60468,-1.10071,0.60296
-59.39019,-62.64493,128.71191,3.36281,-1.10071,0.97199
-59.39019,-62.64493,178.49986,6.16464,-1.10062,0.89325
-59.39019,-62.64493,159.91481,-1.12084,1.10062,0.75748
-59.39019,-62.64493,177.34975,5.60422,-1.10062,0.88017
-59.37229,-62.62827,126.67839,4.48619,0,0.77992
-59.35439,-62.6116,130.76212,3.92756,-1.10075,0.60164
-59.35439,-62.6116,139.71294,5.6108,-1.10075,0.65084
-59.35439,-62.6116,131.77887,5.6108,-1.10075,0.59729
-59.35439,-62.6116,128.72858,2.8054,-1.10075,0.97102
-59.35439,-62.6116,126.66173,5.04972,-1.10075,0.76818
-59.35439,-62.6116,178.49986,6.17137,-1.10066,0.88723
-59.35439,-62.6116,159.91481,-1.12207,1.10066,0.73395
-59.35439,-62.6116,159.5481,11.22067,-1.10066,0.71875
-59.35439,-62.6116,191.40105,0.56108,-1.10075,0.92216
-59.3186,-62.57826,121.46124,2.80846,-1.10079,0.81814
-59.3186,-62.57826,126.64506,5.61692,-1.10079,0.75682
